eps,min_samples,silhouette_score,davies_bouldin_score,number_of_clusters,min_cluster_size,max_cluster_size,mean_cluster_size,cluster_size_75pct,cluster_size_25pct,total_noise_points
0.15,5,-0.4039445383701093,1.304208662028123,171.0,2.0,35329.0,236.42105263157896,10.0,5.0,3617
0.15,6,-0.46528428644921715,1.2373837241926078,166.0,1.0,34465.0,243.5421686746988,11.0,6.0,4408
0.15,7,-0.4862491690741769,1.2813203328691172,152.0,2.0,33504.0,265.9736842105263,12.0,7.0,5327
0.15,8,-0.5428546283470874,1.3438873921863055,123.0,1.0,32792.0,328.6829268292683,12.0,7.0,6288
0.15,9,-0.5403105753073512,1.4199107264963273,112.0,2.0,31939.0,360.9642857142857,13.0,7.0,7254
0.15,10,-0.5551186585312315,1.447252979984816,121.0,1.0,27907.0,334.11570247933884,15.0,8.0,8258
0.15,11,-0.5636762448230792,1.4871513815818866,126.0,1.0,27129.0,320.85714285714283,17.0,8.0,9096
0.15,12,-0.5594379131412295,1.4046265670733962,100.0,1.0,26421.0,404.28,21.0,8.0,10221
0.15,13,-0.569525853069064,1.4968674712142378,106.0,1.0,25507.0,381.39622641509436,25.75,10.0,11151
0.15,14,-0.5750804128564909,1.6215800469200727,100.0,2.0,24623.0,404.28,29.75,11.0,12222
0.15,15,-0.5706735722529466,1.4295435544743587,106.0,3.0,23438.0,381.39622641509436,27.75,11.0,13334
0.15,16,-0.5618832423411032,1.6063436571530367,109.0,2.0,22066.0,370.89908256880733,28.0,11.0,14465
0.15,17,-0.5863981222207151,1.6964780657409562,102.0,3.0,21397.0,396.3529411764706,30.75,14.0,15414
0.15,18,-0.6059330874160412,1.6206354038536455,120.0,4.0,20527.0,336.9,26.25,12.0,16386
0.15,19,-0.5953275475933496,1.5320947467322328,90.0,2.0,19858.0,449.2,29.75,16.0,17677
0.15,20,-0.6051452793300927,1.5737607232758901,82.0,1.0,18979.0,493.0243902439024,30.75,16.25,18734
0.15,21,-0.6066300152454311,1.533334182636114,85.0,1.0,19799.0,475.6235294117647,30.0,14.0,19799
0.15,22,-0.6133355788187611,1.5586197838586895,69.0,1.0,20795.0,585.9130434782609,35.0,19.0,20795
0.15,23,-0.623074333850131,1.6183894397494647,61.0,3.0,21714.0,662.7540983606557,34.0,18.0,21714
0.15,24,-0.6192668835989229,1.5313328096398602,61.0,6.0,22512.0,662.7540983606557,38.0,18.0,22512
0.15,25,-0.6052401903872631,1.9328230078909268,52.0,7.0,23474.0,777.4615384615385,41.0,20.75,23474
0.15,26,-0.6069997023321644,1.8823806005118315,56.0,9.0,24156.0,721.9285714285714,35.5,21.5,24156
0.15,27,-0.6013033055613972,2.01022444738117,47.0,4.0,24942.0,860.1702127659574,41.0,22.0,24942
0.15,28,-0.6003710298379443,1.9943371454229175,35.0,10.0,25721.0,1155.0857142857142,53.5,28.0,25721
0.15,29,-0.6091733158444695,1.7896738137948527,37.0,10.0,26416.0,1092.6486486486488,46.0,23.0,26416
0.15,30,-0.5726202505436809,1.6513316178804562,34.0,8.0,27088.0,1189.0588235294117,54.25,23.0,27088
