C,penalty,params,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_f1_micro,std_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,std_train_f1_micro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,mean_train_f1_macro,std_train_f1_macro
0.1,l2,"{'logreg__C': 0.1, 'logreg__penalty': 'l2'}",0.5598939911971398,0.0056699792864382875,1,0.5628019692436041,0.0018109993060838154,0.5598939911971398,0.0056699792864382875,1,0.5628019692436041,0.0018109993060838154,0.36479206698079303,0.008597122908864128,21,0.36885713361587447,0.002650465672157179
0.05,l2,"{'logreg__C': 0.05, 'logreg__penalty': 'l2'}",0.5598525339797091,0.005868520048269937,2,0.5628693597937773,0.0016879662807711567,0.5598525339797091,0.005868520048269937,2,0.5628693597937773,0.0016879662807711567,0.36141348174773225,0.010481211116631944,22,0.3657841113490508,0.001569408296745409
0.5,l1,"{'logreg__C': 0.5, 'logreg__penalty': 'l1'}",0.559686642768306,0.00579453240503316,3,0.5629108292375725,0.001859236538294059,0.559686642768306,0.00579453240503316,3,0.5629108292375725,0.001859236538294059,0.3668783002916799,0.0071718052517977,17,0.37116141022945487,0.002187021090893342
0.1,l1,"{'logreg__C': 0.1, 'logreg__penalty': 'l1'}",0.5596659109350209,0.006308742434611573,4,0.5628330718303024,0.0015785661391561955,0.5596659109350209,0.006308742434611573,4,0.5628330718303024,0.0015785661391561955,0.35848372989123833,0.008943401602266013,23,0.3631570378174467,0.0009569964306243511
0.5,l2,"{'logreg__C': 0.5, 'logreg__penalty': 'l2'}",0.5596244386695984,0.005608757597052147,5,0.5629574835207019,0.0018911264814701076,0.5596244386695984,0.005608757597052147,5,0.5629574835207019,0.0018911264814701076,0.3673020313179812,0.007201612660346618,1,0.37204168555986933,0.002750735002163613
0.8,l2,"{'logreg__C': 0.8, 'logreg__penalty': 'l2'}",0.5595829707036022,0.005752500218786401,6,0.5629730350827723,0.0019377722168631756,0.5595829707036022,0.005752500218786401,6,0.5629730350827723,0.0019377722168631756,0.3670712289992957,0.0073353875602680104,11,0.3723436142077997,0.002772354538336392
1.2,l2,"{'logreg__C': 1.2, 'logreg__penalty': 'l2'}",0.5594792964891853,0.005849048830624455,7,0.5629315641610109,0.001906187998792382,0.5594792964891853,0.005849048830624455,7,0.5629315641610109,0.001906187998792382,0.36725839360708296,0.007773344858672314,4,0.37236067218144264,0.002699896778872261
1.5,l2,"{'logreg__C': 1.5, 'logreg__penalty': 'l2'}",0.559458560356474,0.005839328746359567,8,0.5629056446669595,0.0019501102281155355,0.559458560356474,0.005839328746359567,8,0.5629056446669595,0.0019501102281155355,0.3671699843192461,0.007824190700291368,7,0.3725753982678229,0.0028942392297361965
1.0,l2,"{'logreg__C': 1.0, 'logreg__penalty': 'l2'}",0.5594585582067608,0.005771730763051444,9,0.5629522996218915,0.0019308402684876623,0.5594585582067608,0.005771730763051444,9,0.5629522996218915,0.0019308402684876623,0.36699505010775046,0.007336124266475576,13,0.37245892771744105,0.002781655862552465
5,l1,"{'logreg__C': 5, 'logreg__penalty': 'l1'}",0.5594378306729022,0.005875316879481902,10,0.5630093208964781,0.001895495698580211,0.5594378306729022,0.005875316879481902,10,0.5630093208964781,0.001895495698580211,0.36712303801706286,0.007670960301162802,8,0.3731424451243087,0.0025812303427094354
